Player,Year,Origin,Destination,Prev_Yards,Prev_Tackles,Prev_Sacks,Prev_INTs,Success_In_B1G
E.J. Williams,2023,Clemson,Indiana,70.0,0.0,0.0,0.0,0
Chris Collins,2023,North Carolina,Minnesota,0.0,20.0,0.0,0.0,0
Anthony Lucas,2023,Texas A&M,USC,0.0,10.0,0.0,0.0,0
Kaden Prather,2023,West Virginia,Maryland,501.0,1.0,0.0,0.0,1
Mason Cobb,2023,Oklahoma State,USC,13.0,96.0,1.0,1.0,1
Gary Bryant Jr.,2023,USC,Oregon,49.0,0.0,0.0,0.0,1
John Paddock,2023,Ball State,Illinois,2631.0,1.0,0.0,14.0,1
Alante Brown,2023,Nebraska,Michigan State,201.0,0.0,0.0,0.0,0
Billy Kemp,2023,Virginia,Nebraska,151.0,0.0,0.0,0.0,1
Josh Wallace,2023,Massachusetts,Michigan,0.0,41.0,0.0,2.0,1
Bryson Green,2023,Oklahoma State,Wisconsin,579.0,0.0,0.0,0.0,1
Tez Johnson,2023,Troy,Oregon,935.0,0.0,0.0,0.0,1
Ralen Goforth,2023,USC,Washington,31.0,38.0,0.0,1.0,1
A.J. Henning,2023,Michigan,Northwestern,511.0,0.0,0.0,0.0,1
Jarrett Jackson,2023,Florida State,Michigan State,0.0,12.0,0.0,0.0,0
Tyneil Hopper,2023,Boise State,Michigan State,108.0,0.0,0.0,0.0,0
Cade McNamara,2023,Michigan,Iowa,150.0,0.0,0.0,1.0,1
Jason Maitre,2023,Boston College,Wisconsin,0.0,42.0,1.0,1.0,1
Jeff Pietrowski,2023,Michigan State,Wisconsin,0.0,7.0,0.0,0.0,1
Nicolas Toomer,2023,Stanford,Indiana,0.0,7.0,0.0,0.0,1
Nathan Carter,2023,UConn,Michigan State,444.0,0.0,0.0,0.0,1
Michael Dixon,2023,Minnesota,Rutgers,0.0,28.0,0.0,0.0,1
Cam Johnson,2023,Arizona State,Northwestern,93.0,0.0,0.0,0.0,1
Jalen Sami,2023,Colorado,Michigan State,0.0,28.0,0.0,0.0,0
Jaylan Franklin,2023,Wisconsin,Michigan State,40.0,0.0,0.0,0.0,0
Christian Turner,2023,Wake Forest,Indiana,555.0,0.0,0.0,0.0,0
Daniyel Ngata,2023,Arizona State,Washington,736.0,0.0,0.0,0.0,1
Jamier Johnson,2023,Texas,Indiana,0.0,4.0,0.0,0.0,0
Isaiah Nichols,2023,Arkansas,Purdue,0.0,16.0,0.0,0.0,0
Tanner Arkin,2023,Colorado State,Illinois,117.0,0.0,0.0,0.0,0
Josh Fleeks,2023,Baylor,Nebraska,86.0,0.0,0.0,0.0,0
Jack Tuttle,2023,Indiana,Michigan,90.0,0.0,0.0,0.0,0
Will Pauling,2023,Cincinnati,Wisconsin,114.0,1.0,0.0,0.0,1
Denzel Daxon,2023,Ohio,Illinois,0.0,3.0,0.0,0.0,1
Joshua Rudolph,2023,Austin Peay,Indiana,0.0,12.0,0.0,0.0,0
Lanell Carr,2023,West Virginia,Indiana,0.0,21.0,1.0,0.0,1
Connor Soelle,2023,Arizona State,Oregon,0.0,29.0,0.0,0.0,0
Jeff Sims,2023,Georgia Tech,Nebraska,1404.0,0.0,0.0,3.0,1
Riley Thompson,2023,Florida Atlantic,Penn State,2770.0,0.0,0.0,0.0,1
Blake Glessner,2023,Montana State,UCLA,0.0,0.0,0.0,0.0,0
James Turner,2023,Louisville,Michigan,0.0,0.0,0.0,0.0,0
Bryce McFerson,2024,Notre Dame,Maryland,1712.0,1.0,0.0,0.0,1
Dillon Gabriel,2024,Oklahoma,Oregon,4070.0,1.0,0.0,6.0,1
Reggie Love III,2024,Illinois,Purdue,632.0,1.0,0.0,0.0,1
Nikai Martinez,2024,UCF,Michigan State,96.0,49.0,0.0,3.0,1
Jaxon Howard,2024,LSU,Minnesota,0.0,3.0,0.0,0.0,0
Jack Velling,2024,Oregon State,Michigan State,438.0,2.0,0.0,0.0,1
John Humphrey,2024,UCLA,USC,1.0,31.0,0.0,2.0,1
Aidan Chiles,2024,Oregon State,Michigan State,388.0,0.0,0.0,0.0,1
Solomon Vanhorse,2024,James Madison,Indiana,67.0,0.0,0.0,0.0,0
Cayson Pfeiffer,2024,Cincinnati,Wisconsin,0.0,3.0,0.0,0.0,0
Jamaree Caldwell,2024,Houston,Oregon,0.0,26.0,6.5,0.0,1
Kaylin Moore,2024,California,UCLA,0.0,24.0,0.0,0.0,1
Ceyair Wright,2024,USC,Nebraska,0.0,10.0,0.0,0.0,1
Jayden Wayne,2024,Miami,Washington,0.0,13.0,0.5,0.0,0
