Player,Position,Year,Origin,Destination,Prev_Pass_Yds,Prev_Rush_Rec_Yds,Prev_Pass_INTs,Prev_Def_INTs,Prev_Tackles,Prev_Sacks,Success_In_B1G
Jordan Phillips,DL,2023,Tennessee,Maryland,0.0,0.0,0.0,0.0,1.0,0.0,1
Kyon Barrs,DL,2023,Arizona,USC,0.0,0.0,0.0,0.0,39.0,0.0,0
Josaiah Stewart,EDGE,2023,Coastal Carolina,Michigan,0.0,0.0,0.0,0.0,34.0,3.5,1
Tyler Bride,CB,2023,Georgia Southern,Minnesota,0.0,0.0,0.0,2.0,35.0,0.0,0
John Ferlmann,LS,2023,Arizona State,Ohio State,0.0,0.0,0.0,0.0,2.0,0.0,0
Ja'Had Carter,S,2023,Syracuse,Ohio State,0.0,0.0,0.0,3.0,35.0,0.0,0
Josh Cuevas,TE,2023,Cal Poly,Washington,0.0,678.0,0.0,0.0,0.0,0.0,0
Tunmise Adeleye,DL,2023,Texas A&M,Michigan State,0.0,0.0,0.0,0.0,6.0,0.0,0
Jabbar Muhammad,CB,2023,Oklahoma State,Washington,0.0,0.0,0.0,1.0,48.0,0.0,1
Malik Langham,DL,2023,Vanderbilt,Purdue,0.0,0.0,0.0,0.0,13.0,0.0,0
Philip Blidi,DL,2023,Texas Tech,Indiana,0.0,0.0,0.0,0.0,18.0,2.0,1
Dante Cephas,WR,2023,Kent State,Penn State,0.0,756.0,0.0,0.0,0.0,0.0,0
Josh Sanguinetti,S,2023,Indiana,Indiana,0.0,0.0,0.0,1.0,22.0,0.0,1
Davison Igbinosun,CB,2023,Ole Miss,Ohio State,0.0,0.0,0.0,0.0,32.0,0.0,1
J.Michael Sturdivant,WR,2023,California,UCLA,0.0,747.0,0.0,0.0,1.0,0.0,1
Dorian Singer,WR,2023,Arizona,USC,0.0,1137.0,0.0,0.0,2.0,0.0,0
Casey Kelly,TE,2023,Ole Miss,Oregon,0.0,25.0,0.0,0.0,0.0,0.0,0
Darian Varner,DL,2023,Temple,Wisconsin,0.0,0.0,0.0,0.0,35.0,7.5,0
Kobee Minor,S,2023,Texas Tech,Indiana,0.0,0.0,0.0,0.0,12.0,0.0,1
Jaren Mangham,RB,2023,South Florida,Michigan State,0.0,128.0,0.0,0.0,0.0,0.0,0
Collin Schlee,QB,2023,Kent State,UCLA,2707.0,0.0,5.0,0.0,0.0,0.0,0
Anthony Jones,EDGE,2023,Oregon,Indiana,0.0,0.0,0.0,0.0,1.0,0.0,0
Malik McClain,WR,2023,Florida State,Penn State,0.0,212.0,0.0,0.0,0.0,0.0,0
Kyle Ford,WR,2023,USC,UCLA,0.0,365.0,0.0,0.0,0.0,0.0,0
Dre Butler,DL,2023,Liberty,Michigan State,0.0,0.0,0.0,0.0,21.0,1.5,0
Chief Borders,LB,2023,Florida,Nebraska,0.0,0.0,0.0,0.0,2.0,0.0,0
Marquis Wilson,CB,2023,Penn State,Purdue,0.0,0.0,0.0,0.0,18.0,0.0,0
Jordan Anderson,S,2023,Bowling Green,UCLA,0.0,0.0,0.0,1.0,42.0,0.5,0
Tayven Jackson,QB,2023,Tennessee,Indiana,47.0,0.0,0.0,0.0,0.0,0.0,0
Jestin Jacobs,LB,2023,Iowa,Oregon,0.0,0.0,0.0,0.0,6.0,0.0,1
Jordan Burch,EDGE,2023,South Carolina,Oregon,0.0,0.0,0.0,0.0,56.0,3.5,1
MarShawn Lloyd,RB,2023,South Carolina,USC,0.0,748.0,0.0,0.0,1.0,0.0,1
Sean Tyler,RB,2023,Western Michigan,Minnesota,0.0,1762.0,0.0,0.0,0.0,0.0,0
Jamil Muhammad,LB,2023,Georgia State,USC,0.0,0.0,0.0,1.0,44.0,1.5,1
Hudson Card,QB,2023,Texas,Purdue,974.0,0.0,1.0,0.0,0.0,0.0,1
Carson Steele,RB,2023,Ball State,UCLA,0.0,1744.0,0.0,0.0,1.0,0.0,1
Luke Altmyer,QB,2023,Ole Miss,Illinois,128.0,0.0,1.0,0.0,0.0,0.0,1
MJ Sherman,EDGE,2023,Georgia,Nebraska,0.0,0.0,0.0,0.0,4.0,0.5,0
Oluwafemi Oladejo,LB,2023,California,UCLA,0.0,0.0,0.0,0.0,69.0,0.0,1
Tanner Mordecai,QB,2023,SMU,Wisconsin,3624.0,0.0,10.0,0.0,1.0,0.0,1
Eric Rogers,CB,2023,Northern Illinois,Rutgers,0.0,0.0,0.0,2.0,16.0,0.0,0
Tyrese Chambers,WR,2023,Florida International,Maryland,0.0,580.0,0.0,0.0,0.0,0.0,0
Jack Sullivan,DL,2023,Purdue,USC,0.0,0.0,0.0,0.0,33.0,5.5,0
Avantae Williams,S,2023,Miami,Maryland,0.0,0.0,0.0,0.0,9.0,0.0,0
Tysheem Johnson,S,2023,Ole Miss,Oregon,0.0,0.0,0.0,0.0,73.0,0.0,1
Erick All,TE,2023,Michigan,Iowa,0.0,36.0,0.0,0.0,0.0,0.0,0
Marcus Burris Jr.,DL,2023,Texas A&M,Indiana,0.0,0.0,0.0,0.0,1.0,0.0,0
Deacon Hill,QB,2023,Wisconsin,Iowa,-10.0,0.0,0.0,0.0,0.0,0.0,0
Bear Alexander,DL,2023,Georgia,USC,0.0,0.0,0.0,0.0,8.0,2.0,1
Evan Williams,S,2023,Fresno State,Oregon,0.0,0.0,0.0,0.0,55.0,0.0,1
Nick Jackson,LB,2023,Virginia,Iowa,0.0,0.0,0.0,0.0,104.0,5.0,1
Moliki Matavao,TE,2023,Oregon,UCLA,0.0,137.0,0.0,0.0,0.0,0.0,0
Khyree Jackson,CB,2023,Alabama,Oregon,0.0,0.0,0.0,0.0,7.0,0.0,1
Corey Crooms,WR,2023,Western Michigan,Minnesota,0.0,809.0,0.0,0.0,2.0,0.0,1
Dillon Johnson,RB,2023,Mississippi State,Washington,0.0,773.0,0.0,0.0,1.0,0.0,1
Keanu Williams,DL,2023,Oregon,UCLA,0.0,0.0,0.0,0.0,2.0,0.0,0
Jacob Mangum-Farrar,LB,2023,Stanford,Indiana,0.0,0.0,0.0,0.0,45.0,0.0,1
Clayton Bush,S,2023,Southern Illinois,Illinois,0.0,0.0,0.0,1.0,1.0,0.0,1
Ernest Hausmann,LB,2023,Nebraska,Michigan,0.0,0.0,0.0,0.0,54.0,1.0,1
Christian Roland-Wallace,CB,2023,Arizona,USC,0.0,0.0,0.0,0.0,57.0,0.0,1
Nicario Harper,S,2023,Louisville,Illinois,0.0,0.0,0.0,0.0,7.0,0.0,1
E.J. Williams,WR,2023,Clemson,Indiana,0.0,70.0,0.0,0.0,0.0,0.0,0
Chris Collins,EDGE,2023,North Carolina,Minnesota,0.0,0.0,0.0,0.0,20.0,0.0,1
Anthony Lucas,DL,2023,Texas A&M,USC,0.0,0.0,0.0,0.0,10.0,0.0,0
Kaden Prather,WR,2023,West Virginia,Maryland,0.0,501.0,0.0,0.0,1.0,0.0,1
Mason Cobb,LB,2023,Oklahoma State,USC,0.0,0.0,0.0,1.0,96.0,1.0,1
Gary Bryant Jr.,WR,2023,USC,Oregon,0.0,49.0,0.0,0.0,0.0,0.0,1
John Paddock,QB,2023,Ball State,Illinois,2631.0,0.0,14.0,0.0,1.0,0.0,1
Alante Brown,WR,2023,Nebraska,Michigan State,0.0,201.0,0.0,0.0,0.0,0.0,0
Billy Kemp,WR,2023,Virginia,Nebraska,0.0,151.0,0.0,0.0,0.0,0.0,1
Josh Wallace,CB,2023,Massachusetts,Michigan,0.0,0.0,0.0,2.0,41.0,0.0,1
Bryson Green,WR,2023,Oklahoma State,Wisconsin,0.0,579.0,0.0,0.0,0.0,0.0,1
Tez Johnson,WR,2023,Troy,Oregon,0.0,935.0,0.0,0.0,0.0,0.0,1
Ralen Goforth,LB,2023,USC,Washington,0.0,0.0,0.0,1.0,38.0,0.0,1
A.J. Henning,WR,2023,Michigan,Northwestern,0.0,511.0,0.0,0.0,0.0,0.0,1
