Player,Position,Year,Origin,Destination,Prev_Pass_Yds,Prev_Rush_Rec_Yds,Prev_Pass_INTs,Prev_Def_INTs,Prev_Tackles,Prev_Sacks,Success_In_B1G
Tyler Williams,WR,2024,Georgia,Minnesota,0.0,4.0,0.0,0.0,0.0,0.0,0
Dante Moore,QB,2024,UCLA,Oregon,1527.0,0.0,9.0,0.0,0.0,0.0,0
Jaishawn Barham,LB,2024,Maryland,Michigan,0.0,0.0,0.0,1.0,37.0,3.0,1
Rico Flores,WR,2024,Notre Dame,UCLA,0.0,392.0,0.0,0.0,0.0,0.0,0
Will Howard,QB,2024,Kansas State,Ohio State,3015.0,0.0,10.0,0.0,0.0,0.0,1
Wayne Matthews III,LB,2024,Old Dominion,Michigan State,0.0,0.0,0.0,0.0,135.0,3.5,1
Kurtis Rourke,QB,2024,Ohio,Indiana,2433.0,0.0,5.0,0.0,0.0,0.0,1
Nate Clifton,DL,2024,Vanderbilt,USC,0.0,0.0,0.0,1.0,30.0,5.5,0
Jalen Huskey,CB,2024,Bowling Green,Maryland,0.0,0.0,0.0,4.0,52.0,0.0,1
Julian Fleming,WR,2024,Ohio State,Penn State,0.0,274.0,0.0,0.0,1.0,0.0,0
Jonah Coleman,RB,2024,Arizona,Washington,0.0,1154.0,0.0,0.0,0.0,0.0,1
Derrick Harmon,DL,2024,Michigan State,Oregon,0.0,0.0,0.0,0.0,40.0,1.5,1
Dymere Miller,WR,2024,Monmouth,Rutgers,0.0,1335.0,0.0,0.0,0.0,0.0,1
Leon Lowery,LB,2024,Syracuse,Wisconsin,0.0,0.0,0.0,0.0,45.0,3.5,1
John Pius,EDGE,2024,William & Mary,Wisconsin,0.0,0.0,0.0,0.0,8.0,2.5,0
Will Kacmarek,TE,2024,Ohio,Ohio State,0.0,248.0,0.0,0.0,0.0,0.0,0
Jaheim Thomas,LB,2024,Arkansas,Wisconsin,0.0,0.0,0.0,0.0,89.0,2.5,1
Will Rogers,QB,2024,Mississippi State,Washington,1613.0,0.0,4.0,0.0,0.0,0.0,1
Bryun Parham,LB,2024,San José State,Washington,0.0,0.0,0.0,1.0,106.0,1.5,0
Sieh Bangura,RB,2024,Ohio,Minnesota,0.0,970.0,0.0,0.0,2.0,0.0,0
Jeremiah Hunter,WR,2024,California,Washington,0.0,810.0,0.0,0.0,1.0,0.0,1
Elijah Sarratt,WR,2024,James Madison,Indiana,0.0,1192.0,0.0,0.0,0.0,0.0,1
Brandon Johnson,CB,2024,Duke,Oregon,0.0,0.0,0.0,0.0,49.0,2.0,1
Kobe Savage,S,2024,Kansas State,Oregon,0.0,0.0,0.0,3.0,57.0,0.0,1
James Carpenter,DL,2024,James Madison,Indiana,0.0,0.0,0.0,1.0,53.0,4.0,1
Isaiah Neyor,WR,2024,Texas,Nebraska,0.0,14.0,0.0,0.0,0.0,0.0,1
Tommy Schuster,QB,2024,North Dakota,Michigan State,2122.0,0.0,5.0,0.0,0.0,0.0,0
Jackson McGohan,TE,2024,LSU,Wisconsin,0.0,0.0,0.0,0.0,1.0,0.0,0
Elijah Green,RB,2024,North Carolina,Indiana,0.0,12.0,0.0,0.0,0.0,0.0,0
Tyrell Henry,WR,2024,Michigan State,Wisconsin,0.0,505.0,0.0,0.0,1.0,0.0,0
Shawn Asbury II,S,2024,Old Dominion,Indiana,0.0,0.0,0.0,1.0,95.0,0.0,1
Quindarius Dunnigan,EDGE,2024,Middle Tennessee,Michigan State,0.0,0.0,0.0,0.0,34.0,2.0,0
Elijah Hills,DL,2024,UAlbany,Wisconsin,0.0,0.0,0.0,0.0,8.0,0.0,1
Kaelon Black,RB,2024,James Madison,Indiana,0.0,875.0,0.0,0.0,1.0,0.0,0
D'Quan Douse,DL,2024,Georgia Tech,Michigan State,0.0,0.0,0.0,0.0,32.0,2.0,0
Jailin Walker,LB,2024,James Madison,Indiana,0.0,0.0,0.0,0.0,61.0,1.5,1
Russell Davis II,EDGE,2024,Arizona,Washington,0.0,0.0,0.0,0.0,17.0,3.5,1
MJ Morris,QB,2024,NC State,Maryland,734.0,0.0,5.0,0.0,0.0,0.0,0
Miles Cross,WR,2024,Ohio,Indiana,0.0,606.0,0.0,0.0,0.0,0.0,1
Tawee Walker,RB,2024,Oklahoma,Wisconsin,0.0,594.0,0.0,0.0,0.0,0.0,1
Jordan Turner,LB,2024,Wisconsin,Michigan State,0.0,0.0,0.0,0.0,61.0,3.0,1
Isaiah Ward,EDGE,2024,Arizona,Washington,0.0,0.0,0.0,0.0,30.0,4.0,1
Stefon Thompson,LB,2024,Syracuse,Nebraska,0.0,0.0,0.0,0.0,49.0,1.5,1
Cameron Broussard,S,2024,Sacramento State,Washington,0.0,0.0,0.0,2.0,11.0,0.0,1
Jalen Kimber,CB,2024,Florida,Penn State,0.0,0.0,0.0,0.0,23.0,0.0,1
Myles Price,WR,2024,Texas Tech,Indiana,0.0,607.0,0.0,0.0,1.0,0.0,1
Aamir Hall,CB,2024,UAlbany,Michigan,0.0,0.0,0.0,5.0,6.0,0.0,1
Keleki Latu,TE,2024,Nevada,Washington,0.0,179.0,0.0,0.0,0.0,0.0,1
DeShawn Lynch,DL,2024,Sacramento State,Washington,0.0,0.0,0.0,0.0,4.0,1.0,0
Marcus Major,RB,2024,Oklahoma,Minnesota,0.0,383.0,0.0,0.0,0.0,0.0,1
Cristian Driver,WR,2024,Penn State,Minnesota,0.0,8.0,0.0,0.0,2.0,0.0,0
Jay Fair,WR,2024,Auburn,USC,0.0,313.0,0.0,0.0,0.0,0.0,0
DeCarlos Nicholson,CB,2024,Mississippi State,USC,0.0,0.0,0.0,0.0,42.0,0.0,1
Sebastian Cheeks,LB,2024,North Carolina,Wisconsin,0.0,0.0,0.0,0.0,1.0,0.0,0
Jeremiah Hughes,CB,2024,LSU,Michigan State,0.0,0.0,0.0,0.0,6.0,0.0,0
Jaren Mangham,RB,2024,Michigan State,Minnesota,0.0,108.0,0.0,0.0,1.0,0.0,0
Jacob Busic,EDGE,2024,Navy,UCLA,0.0,0.0,0.0,0.0,4.0,1.0,0
Ke'Shawn Williams,WR,2024,Wake Forest,Indiana,0.0,600.0,0.0,0.0,1.0,0.0,1
Aiden Fisher,LB,2024,James Madison,Indiana,0.0,0.0,0.0,1.0,107.0,1.5,1
Ramon Henderson,S,2024,Notre Dame,UCLA,0.0,0.0,0.0,1.0,12.0,0.0,1
Anthony Jones,EDGE,2024,Indiana,Michigan State,0.0,0.0,0.0,0.0,12.0,0.0,0
Tyrique Tucker,DL,2024,James Madison,Indiana,0.0,0.0,0.0,0.0,30.0,1.5,0
Malcolm Ray,DL,2024,Florida State,Rutgers,0.0,0.0,0.0,0.0,16.0,0.0,0
Kyle Ford,WR,2024,UCLA,USC,0.0,236.0,0.0,0.0,0.0,0.0,1
Zakhari Franklin,WR,2024,Ole Miss,Illinois,0.0,38.0,0.0,0.0,1.0,0.0,1
Marcellius Pulliam,LB,2024,Miami,Michigan State,0.0,0.0,0.0,1.0,1.0,0.0,0
Justice Ellison,RB,2024,Wake Forest,Indiana,0.0,609.0,0.0,0.0,0.0,0.0,1
Brandon Lane,DL,2024,Stephen F. Austin,Wisconsin,0.0,0.0,0.0,0.0,7.0,0.0,0
Jamarius Dinkins,DL,2024,Kentucky,Purdue,0.0,0.0,0.0,0.0,8.0,0.0,0
Shitta Sillah,EDGE,2024,Boston College,Purdue,0.0,0.0,0.0,0.0,14.0,2.0,1
Justin Harrington,S,2024,Oklahoma,Washington,0.0,0.0,0.0,1.0,2.0,0.0,0
Ru'Quan Buckley,DL,2024,Nebraska,Michigan State,0.0,0.0,0.0,0.0,1.0,0.0,0
Kam Brown,WR,2024,UCLA,Purdue,0.0,163.0,0.0,0.0,1.0,0.0,0
Brendan Sullivan,QB,2024,Northwestern,Iowa,874.0,0.0,2.0,0.0,0.0,0.0,0
Cedarius Doss,CB,2024,Austin Peay,Indiana,0.0,0.0,0.0,3.0,6.0,0.0,0
Bryan Addison,S,2024,Oregon,UCLA,0.0,0.0,0.0,1.0,11.0,0.0,1
Mike Wright,QB,2024,Mississippi State,Northwestern,777.0,0.0,3.0,0.0,0.0,0.0,0
Ty Son Lawton,RB,2024,James Madison,Indiana,0.0,742.0,0.0,0.0,0.0,0.0,1
Torrie Cox Jr.,CB,2024,Ohio,Illinois,0.0,0.0,0.0,1.0,36.0,1.5,1
Charles Ross,WR,2024,San José State,USC,0.0,347.0,0.0,0.0,0.0,0.0,0
Zach Horton,TE,2024,James Madison,Indiana,0.0,275.0,0.0,0.0,1.0,0.0,0
Dennis Briggs Jr.,DL,2024,Florida State,Illinois,0.0,0.0,0.0,0.0,12.0,2.0,1
Jalen Satchell,DL,2024,Old Dominion,Michigan State,0.0,0.0,0.0,0.0,15.0,1.0,0
Mikail Kamara,DL,2024,James Madison,Indiana,0.0,0.0,0.0,0.0,51.0,7.5,1
Gentle Hunt,DL,2024,Florida A&M,Illinois,0.0,0.0,0.0,0.0,5.0,1.5,0
Joseph Vaughn,LB,2024,Yale,UCLA,0.0,0.0,0.0,2.0,0.0,0.0,0
Athan Kaliakmanis,QB,2024,Minnesota,Rutgers,1932.0,0.0,9.0,0.0,1.0,0.0,1
Bryce Pierre,TE,2024,Arizona State,UCLA,0.0,139.0,0.0,0.0,0.0,0.0,0
Jacob Gill,WR,2024,Northwestern,Iowa,0.0,11.0,0.0,0.0,0.0,0.0,1
Atticus Sappington,K,2024,Oregon State,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0
Dominic Zvada,K,2024,Arkansas State,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0
Mateen Bhaghani,K,2024,California,UCLA,0.0,0.0,0.0,0.0,0.0,0.0,0
Ben Roberts,DL,2024,Oregon,Michigan State,0.0,0.0,0.0,0.0,2.0,0.0,0
Gavin Meyer,DL,2024,Wyoming,USC,0.0,0.0,0.0,0.0,23.0,0.0,1
