School,Year,Total_Players,Underclassmen,Upperclassmen,Total_Transfers_Incoming,Pct_Transfers,Pct_Non_Transfers
UConn,2022,102,16,86,9.0,8.823529411764707,91.17647058823529
UConn,2023,112,32,80,12.0,10.714285714285714,89.28571428571429
UConn,2024,112,49,62,24.0,21.428571428571427,78.57142857142857
UConn,2025,118,68,50,23.0,19.491525423728813,80.50847457627118
UL Monroe,2022,127,47,80,7.0,5.511811023622047,94.48818897637796
UL Monroe,2023,116,36,77,7.0,6.0344827586206895,93.96551724137932
UL Monroe,2024,122,44,78,16.0,13.114754098360656,86.88524590163934
UL Monroe,2025,102,35,65,14.0,13.725490196078432,86.27450980392157
UNLV,2022,105,12,93,8.0,7.6190476190476195,92.38095238095238
UNLV,2023,110,21,89,9.0,8.181818181818182,91.81818181818181
UNLV,2024,115,43,70,19.0,16.52173913043478,83.47826086956522
UNLV,2025,110,54,56,40.0,36.36363636363637,63.63636363636363
USC,2022,110,8,102,20.0,18.181818181818183,81.81818181818181
USC,2023,110,18,92,16.0,14.545454545454545,85.45454545454545
USC,2024,106,40,66,16.0,15.09433962264151,84.90566037735849
USC,2025,114,71,43,15.0,13.157894736842104,86.84210526315789
UT Martin,2022,126,70,55,4.0,3.1746031746031744,96.82539682539682
UT Martin,2023,45,16,23,1.0,2.2222222222222223,97.77777777777777
UT Martin,2024,54,23,26,11.0,20.37037037037037,79.62962962962963
UT Martin,2025,122,63,57,8.0,6.557377049180328,93.44262295081967
UT Rio Grande Valley,2025,48,12,3,0.0,0.0,100.0
UTEP,2022,115,28,87,1.0,0.8695652173913043,99.1304347826087
UTEP,2023,122,40,82,2.0,1.639344262295082,98.36065573770492
UTEP,2024,111,47,62,27.0,24.324324324324326,75.67567567567568
UTEP,2025,120,68,52,26.0,21.666666666666668,78.33333333333333
UTSA,2022,112,16,96,9.0,8.035714285714286,91.96428571428571
UTSA,2023,115,29,85,8.0,6.956521739130435,93.04347826086956
UTSA,2024,119,41,77,15.0,12.605042016806722,87.39495798319328
UTSA,2025,120,61,59,20.0,16.666666666666664,83.33333333333334
UVA Wise,2022,16,0,1,0.0,0.0,100.0
UVA Wise,2024,12,2,0,0.0,0.0,100.0
University of Mount Union,2022,12,0,0,0.0,0.0,100.0
Upper Iowa University,2024,15,1,0,0.0,0.0,100.0
Upper Iowa University,2025,15,1,0,1.0,6.666666666666667,93.33333333333333
Utah,2022,117,26,91,5.0,4.273504273504273,95.72649572649573
Utah,2023,122,38,84,9.0,7.377049180327869,92.62295081967213
Utah,2024,110,42,67,11.0,10.0,90.0
Utah,2025,116,77,39,21.0,18.103448275862068,81.89655172413794
Utah State,2022,106,26,80,8.0,7.547169811320755,92.45283018867924
Utah State,2023,111,37,74,7.0,6.306306306306306,93.69369369369369
Utah State,2024,108,36,72,20.0,18.51851851851852,81.48148148148148
Utah State,2025,109,61,48,24.0,22.018348623853214,77.98165137614679
Utah Tech,2022,117,65,51,2.0,1.7094017094017095,98.2905982905983
Utah Tech,2023,42,18,19,0.0,0.0,100.0
Utah Tech,2024,50,21,23,8.0,16.0,84.0
Utah Tech,2025,109,64,45,9.0,8.256880733944955,91.74311926605505
VMI,2022,119,60,59,0.0,0.0,100.0
VMI,2023,40,16,22,0.0,0.0,100.0
VMI,2024,50,30,15,0.0,0.0,100.0
VMI,2025,118,94,24,0.0,0.0,100.0
Valdosta State,2025,14,3,0,5.0,35.714285714285715,64.28571428571428
Valparaiso,2022,118,55,62,0.0,0.0,100.0
Valparaiso,2023,39,17,19,0.0,0.0,100.0
Valparaiso,2024,28,15,12,0.0,0.0,100.0
Valparaiso,2025,119,81,38,0.0,0.0,100.0
Vanderbilt,2022,109,6,103,6.0,5.5045871559633035,94.4954128440367
Vanderbilt,2023,114,10,104,3.0,2.631578947368421,97.36842105263158
Vanderbilt,2024,120,28,92,22.0,18.333333333333332,81.66666666666667
Vanderbilt,2025,113,41,72,20.0,17.699115044247787,82.30088495575221
Villanova,2022,90,18,72,1.0,1.1111111111111112,98.88888888888889
Villanova,2023,46,12,33,0.0,0.0,100.0
Villanova,2024,42,19,22,0.0,0.0,100.0
Villanova,2025,95,50,44,3.0,3.1578947368421053,96.84210526315789
Virginia,2022,123,7,116,10.0,8.130081300813007,91.869918699187
Virginia,2023,126,11,115,8.0,6.349206349206349,93.65079365079364
Virginia,2024,128,30,94,13.0,10.15625,89.84375
Virginia,2025,123,44,79,31.0,25.203252032520325,74.79674796747967
Virginia St,2023,15,0,0,0.0,0.0,100.0
Virginia St,2024,13,2,2,0.0,0.0,100.0
Virginia St,2025,18,2,0,0.0,0.0,100.0
Virginia Tech,2022,125,20,105,5.0,4.0,96.0
Virginia Tech,2023,125,42,80,9.0,7.199999999999999,92.8
Virginia Tech,2024,112,43,69,7.0,6.25,93.75
Virginia Tech,2025,113,62,50,30.0,26.548672566371685,73.45132743362831
Virginia Union,2024,12,0,1,1.0,8.333333333333332,91.66666666666667
Virginia University Of Lynchburg,2022,39,0,0,0.0,0.0,100.0
Virginia University Of Lynchburg,2023,40,0,1,0.0,0.0,100.0
Virginia University Of Lynchburg,2024,29,0,0,0.0,0.0,100.0
Virginia University Of Lynchburg,2025,27,0,0,0.0,0.0,100.0
