School,Conference,Year,Team_Record,Conference_Champ,End_of_Year_AP_Rank,Total_Players,Underclassmen,Upperclassmen,Pct_Non_Transfers,Total_Transfers_Incoming,Pct_Transfers
Memphis,American Athletic,2025,8-5,TBD,N/A,121,65,56,70.24793388429752,36.0,29.75206611570248
Mercer,Southern,2022,7-4,TBD,N/A,115,50,64,98.2608695652174,2.0,1.7391304347826086
Mercer,Southern,2023,9-4,TBD,N/A,48,11,34,95.83333333333331,2.0,4.166666666666666
Mercer,Southern,2024,11-3,TBD,N/A,50,18,29,86.0,7.0,14.000000000000002
Mercer,Southern,2025,9-3,TBD,N/A,100,58,42,92.0,8.0,8.0
Mercyhurst,NEC,2024,4-7,TBD,N/A,49,10,19,100.0,0.0,0.0
Mercyhurst,NEC,2025,5-7,TBD,N/A,118,63,55,100.0,0.0,0.0
Merrimack,NEC,2022,8-3,TBD,N/A,103,51,52,99.02912621359224,1.0,0.9708737864077668
Merrimack,NEC,2023,5-6,TBD,N/A,53,25,28,98.1132075471698,1.0,1.8867924528301887
Merrimack,FCS Independents,2024,5-6,TBD,N/A,56,26,26,100.0,0.0,0.0
Merrimack,FCS Independents,2025,4-8,TBD,N/A,108,61,47,98.14814814814817,2.0,1.851851851851852
Miami,ACC,2022,5-7,TBD,N/A,120,27,93,90.83333333333331,11.0,9.166666666666666
Miami,ACC,2023,7-6,TBD,N/A,107,30,76,85.98130841121495,15.0,14.018691588785046
Miami,ACC,2024,10-3,TBD,15,126,64,58,88.88888888888889,14.0,11.11111111111111
Miami,ACC,2025,13-3,TBD,2,122,77,44,85.24590163934427,18.0,14.754098360655735
Miami (OH),Mid-American,2022,6-7,TBD,N/A,116,29,87,93.10344827586206,8.0,6.896551724137931
Miami (OH),Mid-American,2023,11-3,TBD,N/A,118,35,83,96.61016949152544,4.0,3.389830508474576
Miami (OH),Mid-American,2024,9-5,TBD,N/A,116,50,65,95.6896551724138,5.0,4.310344827586207
Miami (OH),Mid-American,2025,7-7,TBD,N/A,112,76,36,85.71428571428572,16.0,14.285714285714285
Michigan,Big Ten,2022,13-1,TBD,4,141,3,137,97.87234042553192,3.0,2.127659574468085
Michigan,Big Ten,2023,15-0,TBD,2,144,18,125,93.75,9.0,6.25
Michigan,Big Ten,2024,8-5,TBD,N/A,139,40,98,94.96402877697842,7.0,5.035971223021583
Michigan,Big Ten,2025,9-4,TBD,21,119,51,68,85.71428571428572,17.0,14.285714285714285
Michigan State,Big Ten,2022,5-7,TBD,N/A,113,14,99,91.15044247787613,10.0,8.849557522123893
Michigan State,Big Ten,2023,4-8,TBD,N/A,117,28,89,88.03418803418803,14.0,11.965811965811966
Michigan State,Big Ten,2024,5-7,TBD,N/A,118,53,65,79.66101694915254,24.0,20.33898305084746
Michigan State,Big Ten,2025,4-8,TBD,N/A,120,64,55,80.83333333333333,23.0,19.166666666666668
Michigan Tech,GLIAC,2022,4-7,TBD,N/A,13,0,1,100.0,0.0,0.0
Middle Tennessee,Conference USA,2022,8-5,TBD,N/A,107,31,76,90.65420560747664,10.0,9.345794392523365
Middle Tennessee,Conference USA,2023,4-8,TBD,N/A,117,34,82,92.3076923076923,9.0,7.6923076923076925
Middle Tennessee,Conference USA,2024,3-9,TBD,N/A,118,47,71,89.83050847457628,12.0,10.16949152542373
Middle Tennessee,Conference USA,2025,3-9,TBD,N/A,113,67,44,89.38053097345133,12.0,10.619469026548671
Miles College,SIAC,2022,1-9,TBD,N/A,25,0,2,100.0,0.0,0.0
Miles College,SIAC,2023,7-3,TBD,N/A,22,0,3,100.0,0.0,0.0
Miles College,SIAC,2024,10-3,TBD,N/A,14,2,3,100.0,0.0,0.0
Miles College,SIAC,2025,3-8,TBD,N/A,19,1,0,100.0,0.0,0.0
Minnesota,Big Ten,2022,9-4,TBD,N/A,109,14,95,92.6605504587156,8.0,7.339449541284404
Minnesota,Big Ten,2023,6-7,TBD,N/A,115,35,80,91.30434782608695,10.0,8.695652173913043
Minnesota,Big Ten,2024,8-5,TBD,N/A,115,51,64,89.56521739130434,12.0,10.434782608695652
Minnesota,Big Ten,2025,8-5,TBD,N/A,110,66,44,80.9090909090909,21.0,19.090909090909093
Mississippi College,Gulf South,2022,4-7,TBD,N/A,11,0,0,100.0,0.0,0.0
Mississippi State,SEC,2022,9-4,TBD,23,114,17,97,91.2280701754386,10.0,8.771929824561402
Mississippi State,SEC,2023,5-7,TBD,N/A,111,29,82,88.28828828828829,13.0,11.711711711711713
Mississippi State,SEC,2024,2-10,TBD,N/A,116,40,74,84.48275862068965,18.0,15.517241379310343
Mississippi State,SEC,2025,5-8,TBD,N/A,119,53,63,73.10924369747899,32.0,26.89075630252101
Mississippi Valley State,SWAC,2022,2-9,TBD,N/A,96,21,75,100.0,0.0,0.0
Mississippi Valley State,SWAC,2023,1-10,TBD,N/A,33,8,13,93.93939393939394,2.0,6.0606060606060606
Mississippi Valley State,SWAC,2024,1-11,TBD,N/A,34,9,15,100.0,0.0,0.0
Mississippi Valley State,SWAC,2025,2-10,TBD,N/A,89,42,44,95.50561797752808,4.0,4.49438202247191
Missouri,SEC,2022,6-7,TBD,N/A,123,21,102,89.4308943089431,13.0,10.569105691056912
Missouri,SEC,2023,11-2,TBD,9,110,24,86,92.72727272727272,8.0,7.272727272727272
Missouri,SEC,2024,10-3,TBD,23,120,46,73,87.5,15.0,12.5
Missouri,SEC,2025,8-5,TBD,N/A,108,52,55,80.55555555555556,21.0,19.444444444444446
Missouri S&T,Great Lakes,2022,3-7,TBD,N/A,15,0,2,100.0,0.0,0.0
Missouri State,MVFC,2022,5-6,TBD,N/A,103,37,65,96.11650485436893,4.0,3.883495145631068
Missouri State,MVFC,2023,4-7,TBD,N/A,46,12,29,91.30434782608695,4.0,8.695652173913043
Missouri State,MVFC,2024,8-4,TBD,N/A,41,8,33,82.92682926829268,7.0,17.073170731707318
Missouri State,Conference USA,2025,7-6,TBD,N/A,105,58,47,85.71428571428572,15.0,14.285714285714285
Monmouth,CAA,2022,5-6,TBD,N/A,112,25,87,99.10714285714286,1.0,0.8928571428571428
Monmouth,CAA,2023,4-7,TBD,N/A,50,6,39,98.0,1.0,2.0
Monmouth,CAA,2024,6-6,TBD,N/A,41,15,23,92.6829268292683,3.0,7.317073170731707
Monmouth,CAA,2025,9-3,TBD,N/A,105,61,43,95.23809523809524,5.0,4.761904761904762
Montana,Big Sky,2022,8-5,TBD,N/A,108,60,48,98.14814814814817,2.0,1.851851851851852
Montana,Big Sky,2023,13-2,TBD,N/A,36,16,17,91.66666666666669,3.0,8.333333333333332
Montana,Big Sky,2024,9-5,TBD,N/A,37,22,14,75.67567567567568,9.0,24.324324324324326
Montana,Big Sky,2025,13-2,TBD,N/A,108,64,44,88.88888888888889,12.0,11.11111111111111
Montana State,Big Sky,2022,12-2,TBD,N/A,103,47,55,99.02912621359224,1.0,0.9708737864077668
Montana State,Big Sky,2023,8-4,TBD,N/A,37,12,24,91.89189189189187,3.0,8.108108108108109
Montana State,Big Sky,2024,15-1,TBD,N/A,54,27,26,94.44444444444444,3.0,5.555555555555555
Montana State,Big Sky,2025,14-2,TBD,N/A,104,78,26,97.1153846153846,3.0,2.8846153846153846
Morehead State,Pioneer,2022,2-9,TBD,N/A,105,56,47,100.0,0.0,0.0
Morehead State,Pioneer,2023,4-7,TBD,N/A,36,15,18,100.0,0.0,0.0
Morehead State,Pioneer,2024,7-5,TBD,N/A,44,16,18,97.72727272727272,1.0,2.272727272727273
Morehead State,Pioneer,2025,6-6,TBD,N/A,121,80,41,99.17355371900828,1.0,0.8264462809917356
Morehouse College,SIAC,2022,1-9,TBD,N/A,11,1,1,100.0,0.0,0.0
Morehouse College,SIAC,2023,1-9,TBD,N/A,11,1,0,100.0,0.0,0.0
Morehouse College,SIAC,2024,1-9,TBD,N/A,14,0,0,100.0,0.0,0.0
Morehouse College,SIAC,2025,3-7,TBD,N/A,16,0,0,100.0,0.0,0.0
Morgan State,MEAC,2022,4-7,TBD,N/A,85,45,37,100.0,0.0,0.0
Morgan State,MEAC,2023,4-6,TBD,N/A,58,20,27,96.55172413793105,2.0,3.4482758620689653
Morgan State,MEAC,2024,6-6,TBD,N/A,58,23,25,94.82758620689656,3.0,5.172413793103448
Morgan State,MEAC,2025,4-8,TBD,N/A,112,59,49,98.21428571428572,2.0,1.7857142857142856
Murray State,OVC,2022,2-9,TBD,N/A,108,62,46,99.07407407407408,1.0,0.9259259259259258
Murray State,MVFC,2023,2-9,TBD,N/A,51,22,21,100.0,0.0,0.0
Murray State,MVFC,2024,1-11,TBD,N/A,55,26,25,74.54545454545455,14.0,25.454545454545453
Murray State,MVFC,2025,1-11,TBD,N/A,111,79,31,97.29729729729728,3.0,2.702702702702702
NC State,ACC,2022,8-5,TBD,14,121,28,93,98.34710743801652,2.0,1.6528925619834711
NC State,ACC,2023,9-4,TBD,21,127,41,81,95.2755905511811,6.0,4.724409448818897
NC State,ACC,2024,6-7,TBD,N/A,124,63,60,87.90322580645162,15.0,12.096774193548388
NC State,ACC,2025,8-5,TBD,N/A,126,86,39,85.71428571428572,18.0,14.285714285714285
Navy,American Athletic,2022,4-8,TBD,N/A,179,46,132,100.0,0.0,0.0
Navy,American Athletic,2023,5-7,TBD,N/A,171,30,141,100.0,0.0,0.0
Navy,American Athletic,2024,10-3,TBD,N/A,185,81,104,100.0,0.0,0.0
Navy,American Athletic,2025,11-2,TBD,23,194,121,73,100.0,0.0,0.0
Nebraska,Big Ten,2022,4-8,TBD,N/A,151,38,113,90.06622516556291,15.0,9.933774834437086
Nebraska,Big Ten,2023,5-7,TBD,N/A,136,54,82,90.44117647058825,13.0,9.558823529411764
Nebraska,Big Ten,2024,7-6,TBD,N/A,152,88,63,94.73684210526316,8.0,5.263157894736842
Nebraska,Big Ten,2025,7-6,TBD,N/A,125,91,34,88.0,15.0,12.0
Nevada,Mountain West,2022,2-10,TBD,N/A,114,20,94,85.96491228070175,16.0,14.035087719298245
Nevada,Mountain West,2023,2-10,TBD,N/A,114,31,83,88.59649122807018,13.0,11.403508771929824
Nevada,Mountain West,2024,3-10,TBD,N/A,110,37,73,80.0,22.0,20.0
Nevada,Mountain West,2025,3-9,TBD,N/A,107,56,51,81.30841121495327,20.0,18.69158878504673
New Hampshire,CAA,2022,9-4,TBD,N/A,102,43,59,100.0,0.0,0.0
New Hampshire,CAA,2023,6-5,TBD,N/A,44,17,26,100.0,0.0,0.0
New Hampshire,CAA,2024,8-5,TBD,N/A,50,20,27,100.0,0.0,0.0
New Hampshire,CAA,2025,8-5,TBD,N/A,106,64,41,98.1132075471698,2.0,1.8867924528301887
New Haven,NEC,2025,5-5,TBD,N/A,150,72,74,98.66666666666669,2.0,1.3333333333333337
New Mexico,Mountain West,2022,2-10,TBD,N/A,119,32,86,94.11764705882354,7.0,5.88235294117647
New Mexico,Mountain West,2023,4-8,TBD,N/A,117,33,84,88.03418803418803,14.0,11.965811965811966
New Mexico,Mountain West,2024,5-7,TBD,N/A,111,30,81,74.77477477477478,28.0,25.225225225225223
New Mexico,Mountain West,2025,9-4,TBD,N/A,109,52,57,67.88990825688073,35.0,32.11009174311927
New Mexico State,FBS Independents,2022,7-6,TBD,N/A,129,37,90,93.02325581395348,9.0,6.976744186046512
New Mexico State,Conference USA,2023,10-5,TBD,N/A,127,42,85,94.48818897637796,7.0,5.511811023622047
New Mexico State,Conference USA,2024,3-9,TBD,N/A,115,44,71,88.69565217391305,13.0,11.304347826086955
New Mexico State,Conference USA,2025,4-8,TBD,N/A,108,47,61,80.55555555555556,21.0,19.444444444444446
Nicholls,Southland,2022,3-8,TBD,N/A,115,81,34,99.1304347826087,1.0,0.8695652173913043
Nicholls,Southland,2023,7-5,TBD,N/A,49,25,14,100.0,0.0,0.0
Nicholls,Southland,2024,4-8,TBD,N/A,60,32,7,96.66666666666669,2.0,3.333333333333333
Nicholls,Southland,2025,4-8,TBD,N/A,55,19,7,92.72727272727272,4.0,7.272727272727272
Norfolk State,MEAC,2022,2-9,TBD,N/A,111,56,55,97.29729729729728,3.0,2.702702702702702
Norfolk State,MEAC,2023,3-8,TBD,N/A,57,14,32,100.0,0.0,0.0
Norfolk State,MEAC,2024,4-8,TBD,N/A,46,8,29,95.65217391304348,2.0,4.3478260869565215
Norfolk State,MEAC,2025,1-11,TBD,N/A,102,39,63,93.1372549019608,7.0,6.862745098039216
North Alabama,Atlantic Sun,2022,1-10,TBD,N/A,108,59,49,100.0,0.0,0.0
North Alabama,UAC,2023,3-8,TBD,N/A,49,18,25,93.87755102040816,3.0,6.122448979591836
North Alabama,UAC,2024,3-9,TBD,N/A,47,16,28,82.97872340425532,8.0,17.02127659574468
North Alabama,UAC,2025,2-10,TBD,N/A,120,71,46,92.5,9.0,7.5
North American University,,2022,,,,16,0,0,100.0,0.0,0.0
North American University,,2023,,,,24,0,0,100.0,0.0,0.0
North American University,,2024,,,,16,0,0,100.0,0.0,0.0
North Carolina,ACC,2022,9-5,TBD,N/A,118,18,99,95.76271186440678,5.0,4.23728813559322
North Carolina,ACC,2023,8-5,TBD,N/A,120,34,86,91.66666666666669,10.0,8.333333333333332
North Carolina,ACC,2024,6-7,TBD,N/A,121,60,61,91.73553719008264,10.0,8.264462809917356
North Carolina,ACC,2025,4-8,TBD,N/A,109,73,35,64.22018348623854,39.0,35.77981651376147
North Carolina A&T,Big South,2022,7-4,TBD,N/A,101,50,51,97.02970297029702,3.0,2.9702970297029703
North Carolina A&T,CAA,2023,1-10,TBD,N/A,48,15,29,95.83333333333331,2.0,4.166666666666666
North Carolina A&T,CAA,2024,1-11,TBD,N/A,51,18,31,94.11764705882354,3.0,5.88235294117647
North Carolina A&T,CAA,2025,2-10,TBD,N/A,101,58,43,98.01980198019804,2.0,1.98019801980198
North Carolina Central,MEAC,2022,10-2,TBD,N/A,109,64,44,99.08256880733946,1.0,0.9174311926605504
North Carolina Central,MEAC,2023,9-3,TBD,N/A,48,24,21,95.83333333333331,2.0,4.166666666666666
North Carolina Central,MEAC,2024,8-3,TBD,N/A,51,24,8,90.19607843137254,5.0,9.803921568627452
North Carolina Central,MEAC,2025,8-4,TBD,N/A,48,22,2,100.0,0.0,0.0
North Central College,CCIW,2022,15-0,TBD,N/A,6,0,0,100.0,0.0,0.0
North Central College,CCIW,2023,14-1,TBD,N/A,8,2,0,100.0,0.0,0.0
North Dakota,MVFC,2022,7-5,TBD,N/A,108,43,65,100.0,0.0,0.0
North Dakota,MVFC,2023,7-5,TBD,N/A,49,16,33,100.0,0.0,0.0
North Dakota,MVFC,2024,5-7,TBD,N/A,51,23,26,96.07843137254902,2.0,3.92156862745098
North Dakota,MVFC,2025,8-6,TBD,N/A,107,66,41,92.5233644859813,8.0,7.476635514018691
North Dakota State,MVFC,2022,12-3,TBD,N/A,121,29,92,100.0,0.0,0.0
North Dakota State,MVFC,2023,11-4,TBD,N/A,41,9,31,95.1219512195122,2.0,4.878048780487805
North Dakota State,MVFC,2024,14-2,TBD,N/A,53,15,37,96.22641509433964,2.0,3.7735849056603774
North Dakota State,MVFC,2025,12-1,TBD,N/A,124,84,39,97.58064516129032,3.0,2.419354838709677
North Greenville,Gulf South,2022,3-8,TBD,N/A,15,0,2,100.0,0.0,0.0
North Greenville,Gulf South,2023,5-5,TBD,N/A,14,0,1,100.0,0.0,0.0
North Greenville,Gulf South,2024,5-5,TBD,N/A,15,2,1,100.0,0.0,0.0
North Texas,Conference USA,2022,7-7,TBD,N/A,115,34,80,91.30434782608695,10.0,8.695652173913043
North Texas,American Athletic,2023,5-7,TBD,N/A,120,46,74,91.66666666666669,10.0,8.333333333333332
North Texas,American Athletic,2024,6-7,TBD,N/A,122,61,59,79.50819672131148,25.0,20.49180327868853
North Texas,American Athletic,2025,12-2,TBD,24,115,69,44,70.43478260869566,34.0,29.565217391304348
Northeastern State,Independent DII,2025,7-3,TBD,N/A,12,1,0,91.66666666666669,1.0,8.333333333333332
Northern Arizona,Big Sky,2022,3-8,TBD,N/A,112,55,57,98.21428571428572,2.0,1.7857142857142856
Northern Arizona,Big Sky,2023,5-6,TBD,N/A,50,14,30,90.0,5.0,10.0
Northern Arizona,Big Sky,2024,8-5,TBD,N/A,55,13,32,83.63636363636364,9.0,16.363636363636363
Northern Arizona,Big Sky,2025,7-5,TBD,N/A,113,66,47,96.46017699115043,4.0,3.5398230088495577
Northern Colorado,Big Sky,2022,3-8,TBD,N/A,105,47,58,97.14285714285714,3.0,2.857142857142857
Northern Colorado,Big Sky,2023,0-11,TBD,N/A,50,16,28,96.0,2.0,4.0
Northern Colorado,Big Sky,2024,1-11,TBD,N/A,53,16,30,98.1132075471698,1.0,1.8867924528301887
Northern Colorado,Big Sky,2025,4-8,TBD,N/A,111,52,58,96.3963963963964,4.0,3.603603603603604
Northern Illinois,Mid-American,2022,3-9,TBD,N/A,120,31,89,97.5,3.0,2.5
Northern Illinois,Mid-American,2023,7-6,TBD,N/A,122,41,80,96.72131147540983,4.0,3.278688524590164
Northern Illinois,Mid-American,2024,8-5,TBD,N/A,122,56,65,95.08196721311477,6.0,4.918032786885246
Northern Illinois,Mid-American,2025,3-9,TBD,N/A,113,74,38,95.57522123893806,5.0,4.424778761061947
Northern Iowa,MVFC,2022,6-5,TBD,N/A,113,50,63,95.57522123893806,5.0,4.424778761061947
Northern Iowa,MVFC,2023,6-5,TBD,N/A,39,12,26,89.74358974358975,4.0,10.256410256410255
Northern Iowa,MVFC,2024,3-9,TBD,N/A,39,14,24,89.74358974358975,4.0,10.256410256410255
Northern Iowa,MVFC,2025,3-9,TBD,N/A,117,74,42,96.58119658119658,4.0,3.418803418803419
Northern Michigan,GLIAC,2025,3-8,TBD,N/A,11,0,0,100.0,0.0,0.0
Northern State,Northern Sun,2024,6-5,TBD,N/A,14,4,0,92.85714285714286,1.0,7.142857142857142
Northwestern,Big Ten,2022,1-11,TBD,N/A,108,6,102,94.44444444444444,6.0,5.555555555555555
Northwestern,Big Ten,2023,8-5,TBD,N/A,103,24,79,97.0873786407767,3.0,2.912621359223301
Northwestern,Big Ten,2024,4-8,TBD,N/A,111,48,63,94.5945945945946,6.0,5.405405405405405
Northwestern,Big Ten,2025,7-6,TBD,N/A,112,66,45,87.5,14.0,12.5
Northwestern (IA),,2023,,,,14,0,2,100.0,0.0,0.0
Northwestern State,Southland,2022,4-7,TBD,N/A,111,59,52,97.29729729729728,3.0,2.702702702702702
Northwestern State,Southland,2023,0-11,TBD,N/A,51,20,24,98.03921568627452,1.0,1.96078431372549
Northwestern State,Southland,2024,0-12,TBD,N/A,49,22,21,93.87755102040816,3.0,6.122448979591836
Northwestern State,Southland,2025,1-11,TBD,N/A,100,69,31,93.0,7.0,7.000000000000001
Notre Dame,FBS Independents,2022,9-4,TBD,N/A,113,9,104,96.46017699115043,4.0,3.5398230088495577
Notre Dame,FBS Independents,2023,10-3,TBD,16,117,20,97,94.01709401709402,7.0,5.982905982905983
Notre Dame,FBS Independents,2024,14-2,TBD,3,121,47,74,92.56198347107438,9.0,7.43801652892562
Notre Dame,FBS Independents,2025,10-2,TBD,10,114,69,45,92.98245614035088,8.0,7.017543859649122
Ohio,Mid-American,2022,10-4,TBD,N/A,118,20,98,97.45762711864408,3.0,2.5423728813559325
Ohio,Mid-American,2023,10-3,TBD,N/A,119,39,80,96.63865546218489,4.0,3.361344537815126
Ohio,Mid-American,2024,11-3,TBD,N/A,117,49,68,82.05128205128204,21.0,17.94871794871795
Ohio,Mid-American,2025,9-4,TBD,N/A,112,54,58,81.25,21.0,18.75
Ohio State,Big Ten,2022,11-2,TBD,3,121,12,108,97.5206611570248,3.0,2.479338842975207
Ohio State,Big Ten,2023,11-2,TBD,6,124,11,112,93.5483870967742,8.0,6.451612903225806
Ohio State,Big Ten,2024,14-2,TBD,6,123,35,88,94.3089430894309,7.0,5.691056910569105
Ohio State,Big Ten,2025,12-2,TBD,5,121,66,55,90.9090909090909,11.0,9.090909090909092
Oklahoma,Big 12,2022,6-7,TBD,N/A,120,10,109,86.66666666666667,16.0,13.333333333333334
Oklahoma,Big 12,2023,10-3,TBD,12,125,36,89,85.6,18.0,14.4
Oklahoma,SEC,2024,6-7,TBD,N/A,126,60,65,87.3015873015873,16.0,12.698412698412698
Oklahoma,SEC,2025,10-3,TBD,13,112,68,43,82.14285714285714,20.0,17.857142857142858
Oklahoma State,Big 12,2022,7-6,TBD,7,129,26,103,96.12403100775194,5.0,3.875968992248062
Oklahoma State,Big 12,2023,10-4,TBD,19,126,41,85,89.68253968253968,13.0,10.317460317460316
Oklahoma State,Big 12,2024,3-9,TBD,N/A,142,71,71,94.3661971830986,8.0,5.633802816901409
Oklahoma State,Big 12,2025,1-11,TBD,N/A,115,60,55,65.21739130434783,40.0,34.78260869565217
Old Dominion,Sun Belt,2022,3-9,TBD,N/A,116,30,84,97.41379310344828,3.0,2.586206896551724
Old Dominion,Sun Belt,2023,6-7,TBD,N/A,117,41,76,94.87179487179488,6.0,5.128205128205128
Old Dominion,Sun Belt,2024,5-7,TBD,N/A,107,41,66,85.98130841121495,15.0,14.018691588785046
Old Dominion,Sun Belt,2025,10-3,TBD,N/A,113,73,40,89.38053097345133,12.0,10.619469026548671
Ole Miss,SEC,2022,8-5,TBD,9,132,21,111,87.12121212121212,17.0,12.87878787878788
Ole Miss,SEC,2023,11-2,TBD,11,129,35,94,80.62015503875969,25.0,19.379844961240316
Ole Miss,SEC,2024,10-3,TBD,16,134,52,82,81.34328358208955,25.0,18.65671641791045
Ole Miss,SEC,2025,13-2,TBD,3,119,71,48,76.47058823529412,28.0,23.52941176470588
Oregon,Pac-12,2022,10-3,TBD,12,128,31,96,90.625,12.0,9.375
Oregon,Pac-12,2023,12-2,TBD,5,128,45,83,88.28125,15.0,11.71875
Oregon,Big Ten,2024,13-1,TBD,1,126,60,66,88.88888888888889,14.0,11.11111111111111
Oregon,Big Ten,2025,13-2,TBD,4,112,71,41,90.17857142857144,11.0,9.821428571428571
Oregon State,Pac-12,2022,10-3,TBD,N/A,121,24,97,98.34710743801652,2.0,1.6528925619834711
Oregon State,Pac-12,2023,8-5,TBD,21,127,32,93,94.48818897637796,7.0,5.511811023622047
Oregon State,Pac-12,2024,5-7,TBD,N/A,114,46,68,85.96491228070175,16.0,14.035087719298245
Oregon State,Pac-12,2025,2-10,TBD,N/A,115,64,51,87.82608695652173,14.0,12.173913043478262
Pace,Northeast 10,2025,0-11,TBD,N/A,13,0,0,100.0,0.0,0.0
Penn State,Big Ten,2022,11-2,TBD,10,122,15,106,97.54098360655738,3.0,2.459016393442623
Penn State,Big Ten,2023,10-3,TBD,10,125,36,89,95.2,6.0,4.8
Penn State,Big Ten,2024,13-3,TBD,5,125,56,69,95.2,6.0,4.8
Penn State,Big Ten,2025,7-6,TBD,N/A,127,81,46,93.7007874015748,8.0,6.299212598425196
Pennsylvania,Ivy,2022,8-2,TBD,N/A,114,23,91,100.0,0.0,0.0
Pennsylvania,Ivy,2023,6-4,TBD,N/A,30,6,20,100.0,0.0,0.0
Pennsylvania,Ivy,2024,4-6,TBD,N/A,29,8,19,96.55172413793105,1.0,3.4482758620689653
Pennsylvania,Ivy,2025,6-4,TBD,N/A,103,56,47,100.0,0.0,0.0
Pittsburgh,ACC,2022,9-4,TBD,N/A,116,12,104,93.96551724137932,7.0,6.0344827586206895
Pittsburgh,ACC,2023,3-9,TBD,N/A,117,31,86,94.01709401709402,7.0,5.982905982905983
Pittsburgh,ACC,2024,7-6,TBD,N/A,118,52,66,88.13559322033899,14.0,11.864406779661016
Pittsburgh,ACC,2025,8-5,TBD,N/A,116,70,46,87.06896551724138,15.0,12.93103448275862
Point University,,2024,,,,15,0,0,100.0,0.0,0.0
Portland State,Big Sky,2022,4-7,TBD,N/A,115,67,46,96.52173913043478,4.0,3.4782608695652173
Portland State,Big Sky,2023,5-6,TBD,N/A,53,24,18,92.45283018867924,4.0,7.547169811320755
Portland State,Big Sky,2024,3-8,TBD,N/A,43,21,7,81.3953488372093,8.0,18.6046511627907
Portland State,Big Sky,2025,1-11,TBD,N/A,46,17,1,93.47826086956522,3.0,6.521739130434782
Post University,Independent DII,2022,0-9,TBD,N/A,17,0,2,100.0,0.0,0.0
Post University,Independent DII,2023,1-8,TBD,N/A,13,2,2,100.0,0.0,0.0
Prairie View A&M,SWAC,2022,6-5,TBD,N/A,105,45,57,100.0,0.0,0.0
Prairie View A&M,SWAC,2023,6-6,TBD,N/A,58,19,24,100.0,0.0,0.0
Prairie View A&M,SWAC,2024,5-7,TBD,N/A,58,18,22,93.10344827586206,4.0,6.896551724137931
Prairie View A&M,SWAC,2025,10-4,TBD,N/A,112,39,70,81.25,21.0,18.75
Presbyterian,Pioneer,2022,1-10,TBD,N/A,121,72,49,100.0,0.0,0.0
Presbyterian,Pioneer,2023,4-7,TBD,N/A,32,11,17,100.0,0.0,0.0
Presbyterian,Pioneer,2024,6-6,TBD,N/A,41,16,20,97.5609756097561,1.0,2.4390243902439024
Presbyterian,Pioneer,2025,10-2,TBD,N/A,122,69,53,100.0,0.0,0.0
Princeton,Ivy,2022,8-2,TBD,N/A,123,29,94,100.0,0.0,0.0
Princeton,Ivy,2023,5-5,TBD,N/A,35,9,26,100.0,0.0,0.0
Princeton,Ivy,2024,3-7,TBD,N/A,39,16,23,100.0,0.0,0.0
Princeton,Ivy,2025,3-7,TBD,N/A,117,59,58,99.14529914529916,1.0,0.8547008547008548
Purdue,Big Ten,2022,8-6,TBD,N/A,116,23,93,91.3793103448276,10.0,8.620689655172415
Purdue,Big Ten,2023,4-8,TBD,N/A,117,39,78,87.17948717948718,15.0,12.82051282051282
Purdue,Big Ten,2024,1-11,TBD,N/A,121,62,59,85.12396694214875,18.0,14.87603305785124
Purdue,Big Ten,2025,2-10,TBD,N/A,121,79,42,57.85123966942149,51.0,42.14876033057851
Rhode Island,CAA,2022,7-4,TBD,N/A,91,47,44,98.9010989010989,1.0,1.098901098901099
Rhode Island,CAA,2023,6-5,TBD,N/A,40,21,15,90.0,4.0,10.0
Rhode Island,CAA,2024,11-3,TBD,N/A,44,21,19,88.63636363636364,5.0,11.363636363636363
Rhode Island,CAA,2025,11-3,TBD,N/A,104,57,46,89.42307692307692,11.0,10.576923076923077
Rice,Conference USA,2022,5-8,TBD,N/A,108,25,83,93.51851851851852,7.0,6.481481481481481
Rice,American Athletic,2023,6-7,TBD,N/A,111,33,78,95.49549549549548,5.0,4.504504504504505
Rice,American Athletic,2024,4-8,TBD,N/A,121,45,76,91.73553719008264,10.0,8.264462809917356
Rice,American Athletic,2025,5-8,TBD,N/A,107,58,48,89.7196261682243,11.0,10.2803738317757
Richmond,CAA,2022,9-4,TBD,N/A,90,22,68,100.0,0.0,0.0
Richmond,CAA,2023,9-4,TBD,N/A,48,14,34,100.0,0.0,0.0
Richmond,CAA,2024,10-3,TBD,N/A,38,10,28,100.0,0.0,0.0
Richmond,Patriot,2025,7-5,TBD,N/A,90,48,42,96.66666666666669,3.0,3.333333333333333
Robert Morris,Big South,2022,0-11,TBD,N/A,102,29,73,100.0,0.0,0.0
Robert Morris,Big South-OVC,2023,4-7,TBD,N/A,58,11,36,94.82758620689656,3.0,5.172413793103448
Robert Morris,NEC,2024,7-5,TBD,N/A,45,10,28,97.77777777777776,1.0,2.2222222222222223
Robert Morris,NEC,2025,3-9,TBD,N/A,106,59,45,92.45283018867924,8.0,7.547169811320755
Roosevelt,GLIAC,2024,1-9,TBD,N/A,12,0,0,100.0,0.0,0.0
Rutgers,Big Ten,2022,4-8,TBD,N/A,130,12,118,94.6153846153846,7.0,5.384615384615385
Rutgers,Big Ten,2023,7-6,TBD,N/A,131,19,112,94.65648854961832,7.0,5.343511450381679
Rutgers,Big Ten,2024,7-6,TBD,N/A,135,46,89,95.55555555555556,6.0,4.444444444444445
