season,playerId,player,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
2021,3924316,Ferrod Gardner,Louisiana,Sun Belt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.5,30.0,0.0,0.0,5.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3925446,Marshaun Cameron,Colorado State,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3925452,Eddie Gonzales,Northern Colorado,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3926231,Britain Covey,Utah,Pac-12,0.0,44.7,14.0,0.0,0.0,0.0,2.0,0.0,0.0,230.0,0.0,41.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,1400.0,0.0,7.1,0.0,9.9
2021,3929651,John Petrishen,Pittsburgh,ACC,0.0,11.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.5,30.0,0.0,2.0,8.5,71.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2021,3929783,Isaac James,Youngstown State,MVFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3930051,Austin Rosa,Virginia Tech,ACC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3930278,Omar Hicks-Onu,Montana,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3931221,Wesley Wolfolk,Morgan State,MEAC,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,105.0,0.0,-5.0,0.0,18.3
2021,3931444,Justin Belknap,Montana,Big Sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3932443,Elijah Taylor,Tulsa,American Athletic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,3932906,Danzel McKinley-Lewis,Toledo,Mid-American,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,273.0,0.0,0.0,0.0,14.4
2021,4027382,Chuby Dunu,Cal Poly,Big Sky,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.2,0.0,0.0
2021,4027385,Ryan Boehm,Fresno State,Mountain West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,16.0,0.0,0.0,2.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
